GameName,Category,FullPath,SizeBytes
1942 - Joint Strike (XBLA),XBLA,G:\___ XBLA Games ___\1942 - Joint Strike (XBLA),157110272
Amy (XBLA),XBLA,G:\___ XBLA Games ___\Amy (XBLA),1667481600
Ancients of Ooga (XBLA),XBLA,G:\___ XBLA Games ___\Ancients of Ooga (XBLA),66412544
Assassins Creed - Liberation HD (XBLA),XBLA,G:\___ XBLA Games ___\Assassins Creed - Liberation HD (XBLA),1882390528
Assault Heroes (XBLA),XBLA,G:\___ XBLA Games ___\Assault Heroes (XBLA),49913856
Bastion (XBLA),XBLA,G:\___ XBLA Games ___\Bastion (XBLA),585543680
Battlefield 1943 (XBLA),XBLA,G:\___ XBLA Games ___\Battlefield 1943 (XBLA),586448896
Bloodforge (XBLA),XBLA,G:\___ XBLA Games ___\Bloodforge (XBLA),1953099776
Bomberman Live (XBLA),XBLA,G:\___ XBLA Games ___\Bomberman Live (XBLA),46616576
Bridge The (XBLA),XBLA,G:\___ XBLA Games ___\Bridge The (XBLA),306204672
Brothers - A Tale of Two Sons (XBLA),XBLA,G:\___ XBLA Games ___\Brothers - A Tale of Two Sons (XBLA),694673408
Call of Duty - Classic (XBLA),XBLA,G:\___ XBLA Games ___\Call of Duty - Classic (XBLA),834146304
Castle of Illusion Starring Mickey Mouse (XBLA),XBLA,G:\___ XBLA Games ___\Castle of Illusion Starring Mickey Mouse (XBLA),399634432
Child of Light (XBLA),XBLA,G:\___ XBLA Games ___\Child of Light (XBLA),1585451008
Cobalt (XBLA),XBLA,G:\___ XBLA Games ___\Cobalt (XBLA),1249914880
Comix Zone (XBLA),XBLA,G:\___ XBLA Games ___\Comix Zone (XBLA),20553728
Constant C (XBLA),XBLA,G:\___ XBLA Games ___\Constant C (XBLA),243494912
Contra (XBLA),XBLA,G:\___ XBLA Games ___\Contra (XBLA),33992704
Contrast (XBLA),XBLA,G:\___ XBLA Games ___\Contrast (XBLA),1021259776
Crazy Machines Elements (XBLA),XBLA,G:\___ XBLA Games ___\Crazy Machines Elements (XBLA),343764992
Crazy Taxi (XBLA),XBLA,G:\___ XBLA Games ___\Crazy Taxi (XBLA),219045888
Dead Rising 2 - Case Zero (XBLA),XBLA,G:\___ XBLA Games ___\Dead Rising 2 - Case Zero (XBLA),864768000
