GameName,Category,FullPath
1942 - Joint Strike (XBLA),XBLA,G:\___ XBLA Games ___\1942 - Joint Strike (XBLA)
Amy (XBLA),XBLA,G:\___ XBLA Games ___\Amy (XBLA)
Ancients of Ooga (XBLA),XBLA,G:\___ XBLA Games ___\Ancients of Ooga (XBLA)
Assassins Creed - Liberation HD (XBLA),XBLA,G:\___ XBLA Games ___\Assassins Creed - Liberation HD (XBLA)
Assault Heroes (XBLA),XBLA,G:\___ XBLA Games ___\Assault Heroes (XBLA)
Bastion (XBLA),XBLA,G:\___ XBLA Games ___\Bastion (XBLA)
Battlefield 1943 (XBLA),XBLA,G:\___ XBLA Games ___\Battlefield 1943 (XBLA)
Bloodforge (XBLA),XBLA,G:\___ XBLA Games ___\Bloodforge (XBLA)
Bomberman Live (XBLA),XBLA,G:\___ XBLA Games ___\Bomberman Live (XBLA)
Bridge The (XBLA),XBLA,G:\___ XBLA Games ___\Bridge The (XBLA)
Brothers - A Tale of Two Sons (XBLA),XBLA,G:\___ XBLA Games ___\Brothers - A Tale of Two Sons (XBLA)
Call of Duty - Classic (XBLA),XBLA,G:\___ XBLA Games ___\Call of Duty - Classic (XBLA)
Castle of Illusion Starring Mickey Mouse (XBLA),XBLA,G:\___ XBLA Games ___\Castle of Illusion Starring Mickey Mouse (XBLA)
Child of Light (XBLA),XBLA,G:\___ XBLA Games ___\Child of Light (XBLA)
Cobalt (XBLA),XBLA,G:\___ XBLA Games ___\Cobalt (XBLA)
Comix Zone (XBLA),XBLA,G:\___ XBLA Games ___\Comix Zone (XBLA)
Constant C (XBLA),XBLA,G:\___ XBLA Games ___\Constant C (XBLA)
Contra (XBLA),XBLA,G:\___ XBLA Games ___\Contra (XBLA)
Contrast (XBLA),XBLA,G:\___ XBLA Games ___\Contrast (XBLA)
Crazy Machines Elements (XBLA),XBLA,G:\___ XBLA Games ___\Crazy Machines Elements (XBLA)
Crazy Taxi (XBLA),XBLA,G:\___ XBLA Games ___\Crazy Taxi (XBLA)
Dead Rising 2 - Case Zero (XBLA),XBLA,G:\___ XBLA Games ___\Dead Rising 2 - Case Zero (XBLA)
Deadlight (XBLA),XBLA,G:\___ XBLA Games ___\Deadlight (XBLA)
Dishwasher The - Dead Samurai (XBLA),XBLA,G:\___ XBLA Games ___\Dishwasher The - Dead Samurai (XBLA)
Dishwasher The - Vampire Smile (XBLA),XBLA,G:\___ XBLA Games ___\Dishwasher The - Vampire Smile (XBLA)
Doom II - Hell on Earth (XBLA),XBLA,G:\___ XBLA Games ___\Doom II - Hell on Earth (XBLA)
DuckTales - Remastered (XBLA),XBLA,G:\___ XBLA Games ___\DuckTales - Remastered (XBLA)
Duke Nukem - Manhattan Project (XBLA),XBLA,G:\___ XBLA Games ___\Duke Nukem - Manhattan Project (XBLA)
Duke Nukem 3D (XBLA),XBLA,G:\___ XBLA Games ___\Duke Nukem 3D (XBLA)
Earthworm Jim HD (XBLA),XBLA,G:\___ XBLA Games ___\Earthworm Jim HD (XBLA)
Far Cry Classic (XBLA),XBLA,G:\___ XBLA Games ___\Far Cry Classic (XBLA)
Flashback (XBLA),XBLA,G:\___ XBLA Games ___\Flashback (XBLA)
Fruit Ninja Kinect (XBLA),XBLA,G:\___ XBLA Games ___\Fruit Ninja Kinect (XBLA)
Game Of Thrones Episode 1-5 (XBLA),XBLA,G:\___ XBLA Games ___\Game Of Thrones Episode 1-5 (XBLA)
Garou - Mark of the Wolves (XBLA),XBLA,G:\___ XBLA Games ___\Garou - Mark of the Wolves (XBLA)
Geometry Wars - Retro Evolved 2 (XBLA),XBLA,G:\___ XBLA Games ___\Geometry Wars - Retro Evolved 2 (XBLA)
Giana Sisters - Twisted Dreams (XBLA),XBLA,G:\___ XBLA Games ___\Giana Sisters - Twisted Dreams (XBLA)
Girl Fight (XBLA),XBLA,G:\___ XBLA Games ___\Girl Fight (XBLA)
Goat Simulator - Mmore Goatz Edition (XBLA),XBLA,G:\___ XBLA Games ___\Goat Simulator - Mmore Goatz Edition (XBLA)
Greed Corp (XBLA),XBLA,G:\___ XBLA Games ___\Greed Corp (XBLA)
Guacamelee - Super Turbo Championship Edition (XBLA),XBLA,G:\___ XBLA Games ___\Guacamelee - Super Turbo Championship Edition (XBLA)
Halo - Spartan Assault (XBLA),XBLA,G:\___ XBLA Games ___\Halo - Spartan Assault (XBLA)
