GameName	Category	FullPath
007 - Blood Stone	___ One-DVD READY GAMES ___	G:\___ One-DVD READY GAMES ___\007 - Blood Stone
007 Legends	___ One-DVD READY GAMES ___	G:\___ One-DVD READY GAMES ___\007 Legends
1942 - Joint Strike (XBLA)	___ XBLA Games ___	G:\___ XBLA Games ___\1942 - Joint Strike (XBLA)
50.Cent.Blood.On.The.Sand	___ One-DVD READY GAMES ___	G:\___ One-DVD READY GAMES ___\50.Cent.Blood.On.The.Sand
Ace.Combat.6.PAL	___ One-DVD READY GAMES ___	G:\___ One-DVD READY GAMES ___\Ace.Combat.6.PAL
Ace.Combat.Assault.Horizon	___ One-DVD READY GAMES ___	G:\___ One-DVD READY GAMES ___\Ace.Combat.Assault.Horizon
Adrenalin Misfits (USA)	___ One-DVD READY GAMES ___	G:\___ One-DVD READY GAMES ___\Adrenalin Misfits (USA)
Adventure.Time.The.Secret.of.the.Nameless.Kingdom	___ One-DVD READY GAMES ___	G:\___ One-DVD READY GAMES ___\Adventure.Time.The.Secret.of.the.Nameless.Kingdom
Air.Conflicts.Secret.Wars	___ One-DVD READY GAMES ___	G:\___ One-DVD READY GAMES ___\Air.Conflicts.Secret.Wars
Air.Conflicts.Vietnam	___ One-DVD READY GAMES ___	G:\___ One-DVD READY GAMES ___\Air.Conflicts.Vietnam
Alan.Wake.XBOX360.iMARS	___ One-DVD READY GAMES ___	G:\___ One-DVD READY GAMES ___\Alan.Wake.XBOX360.iMARS
Alice.Madness.Returns	___ One-DVD READY GAMES ___	G:\___ One-DVD READY GAMES ___\Alice.Madness.Returns
Alien Breed Trilogy (Europe) (EnDe)	___ One-DVD READY GAMES ___	G:\___ One-DVD READY GAMES ___\Alien Breed Trilogy (Europe) (EnDe)
Alien Isolation (2-DVD)	___ Multi-DVD READY GAMES ___	G:\___ Multi-DVD READY GAMES ___\Alien Isolation (2-DVD)
Alien.Vs.Predator	___ One-DVD READY GAMES ___	G:\___ One-DVD READY GAMES ___\Alien.Vs.Predator
Aliens.Colonial.Marines	___ One-DVD READY GAMES ___	G:\___ One-DVD READY GAMES ___\Aliens.Colonial.Marines
Alone.in.the.Dark	___ One-DVD READY GAMES ___	G:\___ One-DVD READY GAMES ___\Alone.in.the.Dark
Alpha.Protocol	___ One-DVD READY GAMES ___	G:\___ One-DVD READY GAMES ___\Alpha.Protocol
Alvin.and.the.Chipmunks.Chipwrecked	___ One-DVD READY GAMES ___	G:\___ One-DVD READY GAMES ___\Alvin.and.the.Chipmunks.Chipwrecked
Amy (XBLA)	___ XBLA Games ___	G:\___ XBLA Games ___\Amy (XBLA)
Ancients of Ooga (XBLA)	___ XBLA Games ___	G:\___ XBLA Games ___\Ancients of Ooga (XBLA)
Angry Birds Trilogy	___ One-DVD READY GAMES ___	G:\___ One-DVD READY GAMES ___\Angry Birds Trilogy
Angry.Birds.Star.Wars	___ One-DVD READY GAMES ___	G:\___ One-DVD READY GAMES ___\Angry.Birds.Star.Wars
Apache.Air.Assault	___ One-DVD READY GAMES ___	G:\___ One-DVD READY GAMES ___\Apache.Air.Assault
Arcania.The.Complete.Tale	___ One-DVD READY GAMES ___	G:\___ One-DVD READY GAMES ___\Arcania.The.Complete.Tale
Armored.Core.V	___ One-DVD READY GAMES ___	G:\___ One-DVD READY GAMES ___\Armored.Core.V
Army.Of.Two	___ One-DVD READY GAMES ___	G:\___ One-DVD READY GAMES ___\Army.Of.Two
Army.Of.Two.The.40th.Day	___ One-DVD READY GAMES ___	G:\___ One-DVD READY GAMES ___\Army.Of.Two.The.40th.Day
Army.of.Two.The.Devils.Cartel	___ One-DVD READY GAMES ___	G:\___ One-DVD READY GAMES ___\Army.of.Two.The.Devils.Cartel
